时间,时间,眉山.大石桥站110kV.平大Ⅱ回126有功值,眉山.大石桥站10kV.大玉Ⅰ回913有功值,眉山.大石桥站10kV.大玉Ⅱ回926有功值,眉山.大石桥站10kV.大江Ⅱ回922有功值,眉山.大石桥站10kV.大旭Ⅱ回927有功值,眉山.大石桥站10kV.大旭Ⅰ回931有功值,眉山.大石桥站10kV.大江Ⅰ回933有功值,眉山.大石桥站110kV.平大Ⅰ回大石桥支线122有功值,眉山.大石桥站10kV.大东线916负荷916有功值,眉山.大石桥站10kV.庄大三线大石桥负荷924有功值,眉山.大石桥站10kV.大文一线928负荷928有功值,眉山.大石桥站10kV.大文二线929负荷929有功值,眉山.大石桥站10kV.大圣线941负荷941有功值,眉山.大石桥站10kV.庄大一线大石桥负荷942有功值,眉山.大石桥站10kV.大锦线919负荷919有功值,眉山.大石桥站10kV.大高线911负荷911有功值,眉山.大石桥站10kV.大北线915负荷915有功值,眉山.大石桥站10kV.大南线925负荷925有功值,眉山.大石桥站10kV.庄大二线大石桥负荷917有功值,眉山.大石桥站#2主变-低有功值,眉山.大石桥站#1主变-低有功值,眉山.大石桥站10kV.大学线918负荷918有功值,眉山.大石桥站10kV.大安线932负荷932有功值,眉山.大石桥站10kV.大青线935负荷935有功值
2016/8/1,0:00:00,-28.031,1.697,2.095,1.095,2.538,2.551,2.025,0,2.937,0.786,1.494,1.431,2.507,1.988,0.592,0.077,0.161,2.445,1,-14.976,-13.524,0.051,0,0
2016/8/1,0:15:00,-27.065,1.646,1.993,1.059,2.367,2.361,1.959,0,2.811,0.76,1.418,1.367,2.798,1.83,0.585,0.08,0.146,2.358,0.95,-14.4,-13.013,0.051,0,0
2016/8/1,0:30:00,-25.776,1.595,1.949,1.037,2.208,2.069,1.871,0,2.773,0.748,1.38,1.317,2.52,1.735,0.541,0.08,0.139,2.278,0.886,-13.747,-12.428,0.044,0,0
2016/8/1,0:45:00,-24.971,1.595,1.964,1.015,2.159,1.996,1.857,0,2.722,0.722,1.317,1.291,2.228,1.704,0.504,0.08,0.139,2.168,0.899,-13.286,-12.026,0.044,0,0
2016/8/1,1:00:00,-24.917,1.57,1.854,0.993,2.147,2.222,1.732,0,2.608,0.697,1.291,1.241,2.709,1.641,0.482,0.077,0.117,2.073,0.861,-13.248,-11.953,0.044,0,0
2016/8/1,1:15:00,-23.467,1.481,1.869,0.964,2.111,1.82,1.667,0,2.57,0.684,1.279,1.203,2.127,1.546,0.475,0.08,0.124,1.986,0.836,-12.518,-11.258,0.051,0,0
2016/8/1,1:30:00,-23.306,1.507,1.781,0.949,2.013,1.806,1.674,0,2.608,0.672,1.228,1.152,2.532,1.483,0.461,0.08,0.124,1.913,0.81,-12.48,-11.258,0.044,0,0
2016/8/1,1:45:00,-22.769,1.469,1.788,0.964,1.976,1.923,1.579,0,2.52,0.646,1.215,1.152,2.203,1.451,0.461,0.073,0.11,1.869,0.785,-12.134,-10.966,0.044,0,0
2016/8/1,2:00:00,-22.5,1.545,1.745,0.934,1.952,1.93,1.579,0,2.532,0.646,1.177,1.089,2.102,1.42,0.431,0.08,0.117,1.876,0.76,-12.019,-10.819,0.044,0,0
2016/8/1,2:15:00,-22.285,1.481,1.737,0.942,1.915,1.652,1.513,0,2.456,0.633,1.177,1.102,2.57,1.357,0.431,0.08,0.11,1.81,0.772,-11.904,-10.746,0.037,0,0
2016/8/1,2:30:00,-21.91,1.481,1.708,0.92,1.879,1.667,1.513,0,2.456,0.608,1.152,1.064,2.38,1.357,0.417,0.08,0.117,1.796,0.722,-11.674,-10.527,0.037,0,0
